Hour,Negative,Positive
02:00,-7,8
03:00,-18,18
04:00,-19,15
05:00,-15,8
06:00,-14,7
07:00,-11,6
08:00,-3,4
09:00,-10,4
10:00,-4,5
11:00,-15,8
12:00,-7,9
13:00,-17,12
14:00,-15,13
15:00,-35,12
16:00,-20,12
17:00,-20,14
18:00,-11,13
19:00,-8,14
20:00,-37,11
21:00,-14,11
22:00,-31,11
23:00,-35,12
