Hour,Negative,Positive
00:00:00,-23,11
01:00,-19,14
02:00,-15,15
03:00,-18,12
04:00,-19,9
05:00,-6,5
06:00,-1,4
07:00,0,3
08:00,-7,3
09:00,-4,2
10:00,-13,5
11:00,-4,6
12:00,0,8
13:00,-5,11
14:00,-7,12
15:00,-7,12
16:00,-10,14
17:00,-9,10
18:00,-2,11
19:00,-8,11
20:00,-21,11
21:00,-17,10
22:00,-13,10
23:00,-9,10
