date,hour,neg,pos
8/4,0,23,11
8/4,1,19,14
8/4,2,15,15
8/4,3,18,12
8/4,4,19,9
8/4,5,6,5
8/4,6,1,4
8/4,7,0,3
8/4,8,7,3
8/4,9,4,2
8/4,10,13,5
8/4,11,4,6
8/4,12,0,8
8/4,13,5,11
8/4,14,7,12
8/4,15,7,12
8/4,16,10,14
8/4,17,9,10
8/4,18,2,11
8/4,19,8,11
8/4,20,21,11
8/4,21,17,10
8/4,22,13,10
8/4,23,9,10
